127.0.0.1, 2018-10-08 15:03:45, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.005891
127.0.0.1, 2018-10-08 15:03:45, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001119
127.0.0.1, 2018-10-08 15:03:45, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003180
127.0.0.1, 2018-10-08 15:03:45, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.006312
127.0.0.1, 2018-10-08 15:03:45, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2018-10-08 15:03:45, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000972
127.0.0.1, 2018-10-08 15:03:45, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001136
127.0.0.1, 2018-10-08 15:03:45, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000820
127.0.0.1, 2018-10-08 15:03:45, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000829
127.0.0.1, 2018-10-08 15:03:45, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001613
127.0.0.1, 2018-10-08 15:03:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000494
127.0.0.1, 2018-10-08 15:03:51, GET, /admin/default/site, HTTP/1.1, 200, 0.036268
127.0.0.1, 2018-10-08 15:03:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000576
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/default/index, HTTP/1.1, 200, 0.042684
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001938
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.006285
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000956
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.008169
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000859
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.005087
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001514
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.003091
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.002402
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001266
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001561
127.0.0.1, 2018-10-08 15:03:53, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001304
127.0.0.1, 2018-10-08 15:03:55, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.002443
127.0.0.1, 2018-10-08 15:03:58, GET, /admin/default/site, HTTP/1.1, 200, 0.036863
127.0.0.1, 2018-10-08 15:03:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
